,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
72,foodgrains-oil-masala,Foodgrains Oil Masala,,dry-fruits,Dry Fruits,,other-dry-fruits,Other Dry Fruits,
73,snacks-branded-foods,Snacks Branded Foods,,spreads-sauces-ketchup,Spreads Sauces Ketchup,,jam-conserve-marmalade,Jam Conserve Marmalade,
74,gourmet-world-food,Gourmet World Food,,chocolates-biscuits,Chocolates Biscuits,,cookies-biscotti-wafer,Cookies Biscotti Wafer,
75,snacks-branded-foods,Snacks Branded Foods,,breakfast-cereals,Breakfast Cereals,,,,
76,gourmet-world-food,Gourmet World Food,,drinks-beverages,Drinks Beverages,,health-drinks,Health Drinks,
78,cleaning-household,Cleaning Household,,disposables-garbage-bag,Disposables Garbage Bag,,,,
79,kitchen-garden-pets,Kitchen Garden Pets,,steel-utensils,Steel Utensils,,plates-tumblers,Plates Tumblers,
80,beauty-hygiene,Beauty Hygiene,,mens-grooming,Mens Grooming,,shaving-foam-gel-cream,Shaving Foam Gel Cream,
81,eggs-meat-fish,Eggs Meat Fish,,eggs,Eggs,,organic-eggs,Organic Eggs,
82,kitchen-garden-pets,Kitchen Garden Pets,,cookware-non-stick,Cookware Non Stick,,kadai-fry-pans,Kadai Fry Pans,
83,cleaning-household,Cleaning Household,,mops-brushes-scrubs,Mops Brushes Scrubs,,toilet-other-brushes,Toilet Other Brushes,
84,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,frozen-fish-seafood,Frozen Fish Seafood,
85,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,fresh-fish,Fresh Fish,
86,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,apples-pomegranate,Apples Pomegranate,
87,beauty-hygiene,Beauty Hygiene,,deodorant-fragrance,Deodorant Fragrance,,fragrances,Fragrances,
88,baby-care,Baby Care,,baby-accessories,Baby Accessories,,combs-brushes-clippers,Combs Brushes Clippers,
89,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,hangers-clips-rope,Hangers Clips Rope,
90,bakery-cakes-dairy,Bakery Cakes Dairy,,breads-buns,Breads Buns,,milk-white-sandwich,Milk White Sandwich,
91,beverages,Beverages,,tea,Tea,,,,
92,beauty-hygiene,Beauty Hygiene,,makeup,Makeup,,eyes,Eyes,
93,eggs-meat-fish,Eggs Meat Fish,,fish-seafood,Fish Seafood,,dry-fish,Dry Fish,
94,gourmet-world-food,Gourmet World Food,,dairy-cheese,Dairy Cheese,,tofu,Tofu,
95,beverages,Beverages,,energy-soft-drinks,Energy Soft Drinks,,cold-drinks,Cold Drinks,
96,cleaning-household,Cleaning Household,,car-shoe-care,Car Shoe Care,,car-polish-cleaners,Car Polish Cleaners,
97,foodgrains-oil-masala,Foodgrains Oil Masala,,rice-rice-products,Rice Rice Products,,boiled-steam-rice,Boiled Steam Rice,
98,fruits-vegetables,Fruits Vegetables,,herbs-seasonings,Herbs Seasonings,,indian-exotic-herbs,Indian Exotic Herbs,
99,kitchen-garden-pets,Kitchen Garden Pets,,flask-casserole,Flask Casserole,,vacuum-flask,Vacuum Flask,
100,gourmet-world-food,Gourmet World Food,,sauces-spreads-dips,Sauces Spreads Dips,,chocolate-peanut-spread,Chocolate Peanut Spread,
101,kitchen-garden-pets,Kitchen Garden Pets,,storage-accessories,Storage Accessories,,water-fridge-bottles,Water Fridge Bottles,
102,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,soap-cases-dispensers,Soap Cases Dispensers,
103,beauty-hygiene,Beauty Hygiene,,feminine-hygiene,Feminine Hygiene,,sanitary-pads-liners,Sanitary Pads Liners,
