,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
242,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,ghee,Ghee,
243,kitchen-garden-pets,Kitchen Garden Pets,,cookware-non-stick,Cookware Non Stick,,cook-and-serve,Cook And Serve,
244,gourmet-world-food,Gourmet World Food,,pasta-soup-noodles,Pasta Soup Noodles,,pastas-spaghetti,Pastas Spaghetti,
245,beauty-hygiene,Beauty Hygiene,,mens-grooming,Mens Grooming,,grooming-styling-sets,Grooming Styling Sets,
246,beauty-hygiene,Beauty Hygiene,,hair-care,Hair Care,,hair-brush-styling-aids,Hair Brush Styling Aids,
247,bakery-cakes-dairy,Bakery Cakes Dairy,,gourmet-breads,Gourmet Breads,,,,
248,fruits-vegetables,Fruits Vegetables,,cuts-sprouts,Cuts Sprouts,,recipe-packs,Recipe Packs,
249,gourmet-world-food,Gourmet World Food,,cereals-breakfast,Cereals Breakfast,,imported-oats-porridge,Imported Oats Porridge,
250,kitchen-garden-pets,Kitchen Garden Pets,,flask-casserole,Flask Casserole,,,,
251,foodgrains-oil-masala,Foodgrains Oil Masala,,organic-staples,Organic Staples,,organic-rice-other-rice,Organic Rice Other Rice,
252,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,wine-rice-vinegar,Wine Rice Vinegar,
253,gourmet-world-food,Gourmet World Food,,drinks-beverages,Drinks Beverages,,gourmet-juices-drinks,Gourmet Juices Drinks,
